sample_id,actual_price,predicted_price,residual,absolute_error,percentage_error,absolute_percentage_error,prediction_ratio,price_segment,issue_type,model_name,target_used
3933,2.2,5.1564478679964765,-2.9564478679964763,2.9564478679964763,-1.3438399393875615,1.3438399393875615,2.343839938933016,Low,extreme_error,CatBoost,target_price
3142,2.0,4.653082515340852,-2.653082515340852,2.653082515340852,-1.3265412570071553,1.3265412570071553,2.3265412565071557,Low,extreme_error,LightGBM,target_price
4753,1.65,3.838624073963532,-2.188624073963532,2.188624073963532,-1.3264388319012683,1.3264388319012683,2.326438831295208,Low,extreme_error,CatBoost,target_price
3827,1.8,4.183452063082914,-2.383452063082914,2.383452063082914,-1.32414003431043,1.32414003431043,2.3241400337548743,Low,extreme_error,CatBoost,target_price
5433,11.9,27.645592797700512,-15.745592797700512,15.745592797700512,-1.323159058519105,1.323159058519105,2.3231590584350714,High,extreme_error,CatBoost,log_target_price
3235,5.5,12.752062162582574,-7.252062162582574,7.252062162582574,-1.3185567565934575,1.3185567565934575,2.31855675641164,Low,extreme_error,LightGBM,target_price
3817,5.2,12.030223794742476,-6.830223794742476,6.830223794742476,-1.3135045756594177,1.3135045756594177,2.313504575467109,Low,extreme_error,LightGBM,log_target_price
2722,1.5,3.465947537174733,-1.965947537174733,1.965947537174733,-1.3106316905760675,1.3106316905760675,2.3106316899094006,Low,extreme_error,CatBoost,target_price
426,1.39,3.204184479454676,-1.814184479454676,1.814184479454676,-1.3051686893161925,1.3051686893161925,2.305168688596768,Low,extreme_error,LightGBM,log_target_price
1934,1.3,2.9953071190635776,-1.6953071190635776,1.6953071190635776,-1.3040823982765346,1.3040823982765346,2.304082397507304,Low,extreme_error,LightGBM,target_price
864,1.5,3.455471415547036,-1.955471415547036,1.955471415547036,-1.3036476094955922,1.3036476094955922,2.3036476088289257,Low,extreme_error,CatBoost,target_price
2753,1.6,3.6785159015245217,-2.0785159015245216,2.0785159015245216,-1.2990724376409055,1.2990724376409055,2.299072437015905,Low,extreme_error,CatBoost,log_target_price
3704,1.39,3.194246060443522,-1.804246060443522,1.804246060443522,-1.298018747586693,1.298018747586693,2.2980187468672684,Low,extreme_error,CatBoost,target_price
3608,4.5,10.322002482181809,-5.822002482181809,5.822002482181809,-1.293778329086229,1.293778329086229,2.293778328864007,Low,extreme_error,LightGBM,target_price
5624,13.899,31.866630267621872,-17.96763026762187,17.96763026762187,-1.2927282729929594,1.2927282729929594,2.292728272921012,High,extreme_error,LightGBM,target_price
5617,5.5,12.594502094193713,-7.094502094193713,7.094502094193713,-1.2899094714370551,1.2899094714370551,2.289909471255237,Low,extreme_error,LightGBM,target_price
7007,8.0,18.299803162074085,-10.299803162074085,10.299803162074085,-1.2874753950983262,1.2874753950983262,2.287475394973326,Mid,extreme_error,CatBoost,target_price
3362,3.0,6.859147052021112,-3.859147052021112,3.859147052021112,-1.28638235024491,1.28638235024491,2.2863823499115763,Low,extreme_error,LightGBM,log_target_price
4173,2.5,5.683770478701726,-3.1837704787017262,3.1837704787017262,-1.273508190971287,1.273508190971287,2.2735081905712877,Low,extreme_error,CatBoost,target_price
6690,5.39,12.1944071394923,-6.804407139492301,6.804407139492301,-1.2624131981873632,1.2624131981873632,2.2624131980018345,Low,extreme_error,LightGBM,target_price
3893,8.9,20.076545110382515,-11.176545110382516,11.176545110382516,-1.2557915852951371,1.2557915852951371,2.2557915851827777,Mid,extreme_error,CatBoost,target_price
